,Территория,Год,НС,НС%,Больные ЗППП_ingroup,Обследованные беременные_ingroup,"Обследованные лица, находящиеся в местах лишения свободы_ingroup",Обследованные по клиническим показаниям_ingroup,Обследованные при эпидемиологическом расследовании_ingroup,Потребители инъекционных наркотиков_ingroup,Прочие контингенты_ingroup,Больные ЗППП_bwgroup,Обследованные беременные_bwgroup,"Обследованные лица, находящиеся в местах лишения свободы_bwgroup",Обследованные по клиническим показаниям_bwgroup,Обследованные при эпидемиологическом расследовании_bwgroup,Потребители инъекционных наркотиков_bwgroup,Прочие контингенты_bwgroup,М,Ж,Количество уголовных дел в сфере оборота наркотиков,ст. 6.8 КоАП России,ст. 6.9 КоАП России,Доля городского населения в общей численности населения на 1 января,Принято студентов в ВУЗы,Число новых случаев наркомании на 100 тыс.,Безработица по МОТ,Валовой региональный продукт на душу населения,Введено общей площади жилых домов,0-15 лет,15-19 лет,>= 70 лет,20-29 лет,30-39 лет,40-49 лет,50-59 лет,60-69 лет,Доля населения с доходами ниже МРОТ
705,Астраханская область,2007-01-01,33,3.28,8.795074758135444e-05,2.8014343343792023e-05,0.0022621022470215653,0.00042917226974907726,0.05309734513274336,0.003067484662576687,7.827014739451605e-05,0.01990049751243781,0.01990049751243781,0.29850746268656714,0.29850746268656714,0.23880597014925373,0.07960199004975124,0.04477611940298507,469608,536289,,,,66.9,8056,12.9,8.7,99999.4,,,,,,,,,,16.3
706,Волгоградская область,2007-01-01,498,18.98,0.0013478818998716303,0.0006268103898570683,0.006263616557734205,0.0008034416208265671,0.030477759472817133,0.007366482504604052,0.00044715229592120803,0.04732394366197183,0.14873239436619717,0.15549295774647887,0.4259154929577465,0.08338028169014085,0.06309859154929577,0.07605633802816901,1211074,1412054,,,,75.4,22313,17.9,6.3,126313.1,,,,,,,,,,13.0
707,Ростовская область,2007-01-01,393,9.14,0.0015949528602821293,0.0004503302421775969,0.0030775687207106384,0.00141137401411374,0.04011461318051576,0.003347680535628886,0.003939235088201668,0.12195121951219512,0.14634146341463414,0.11924119241192412,0.3685636856368564,0.11382113821138211,0.056910569105691054,0.07317073170731707,1988449,2309164,,,,66.8,43031,8.4,6.7,104603.1,,,,,,,,,,16.0
708,Республика Дагестан,2007-01-01,167,5.99,0.0009027307605506658,0.00014365939663053416,0.012387387387387387,0.0005060933641038099,0.08108108108108109,0.025,0.00010654642801949403,0.025974025974025976,0.07142857142857142,0.21428571428571427,0.3246753246753247,0.15584415584415584,0.18181818181818182,0.025974025974025976,1346531,1442069,,,,44.2,20227,20.0,20.2,56812.6,,,,,,,,,,14.4
709,Республика Ингушетия,2007-01-01,70,17.22,0.0,0.0003644480889253337,0.0,0.0002981959147159684,0.16279069767441862,0.019801980198019802,0.0004046469561303962,0.0,0.17486338797814208,0.15300546448087432,0.17486338797814208,0.30601092896174864,0.08743169398907104,0.10382513661202186,183410,223211,,,,42.6,1429,6.7,46.6,41340.7,,,,,,,,,,33.5
710,Кабардино-Балкарская Республика,2007-01-01,51,5.95,0.00046904315196998124,0.00011514104778353483,0.0022851919561243145,0.000186781225818502,0.08823529411764706,0.003816793893129771,0.00042168932921261186,0.022857142857142857,0.09142857142857143,0.11428571428571428,0.32,0.13714285714285715,0.25142857142857145,0.06285714285714286,401099,456183,,,,57.5,5375,37.6,18.0,57011.8,,,,,,,,,,17.3
711,Карачаево-Черкесская Республика,2007-01-01,22,4.72,0.0,0.00012420817289777666,0.0,0.00024164317358034635,0.02654867256637168,0.0,0.00038491254304777786,0.0,0.1951219512195122,0.0,0.2926829268292683,0.2926829268292683,0.0,0.21951219512195122,215825,250541,,,,44.2,3154,45.3,18.1,59200.9,,,,,,,,,,20.5
712,Республика Северная Осетия-Алания,2007-01-01,80,11.24,0.00042753313381787086,0.00031496062992125983,0.010218978102189781,0.002132954141485958,0.04979253112033195,0.018134715025906734,0.00011815519823121012,0.016,0.128,0.224,0.192,0.192,0.224,0.024,330620,380889,,,,64.1,6419,13.0,9.8,74356.6,,,,,,,,,,13.1
713,Чеченская Республика,2007-01-01,153,12.78,0.006857142857142857,0.00042360316855170074,0.008818342151675485,0.005305039787798408,0.13991769547325103,0.024390243902439025,0.0006196780371716906,0.0482897384305835,0.16096579476861167,0.04024144869215292,0.386317907444668,0.27364185110663986,0.04024144869215292,0.05030181086519115,585602,611318,,,,35.0,6859,11.3,52.5,40572.6,,,,,,,,,,
714,Ставропольский край,2007-01-01,107,3.88,0.00024560369387955597,0.0001874919437055439,0.0021200624860522204,0.0006482520910082692,0.07291666666666667,0.00262065953264905,0.0001118838657620773,0.0423728813559322,0.13559322033898305,0.16101694915254236,0.3474576271186441,0.17796610169491525,0.1016949152542373,0.03389830508474576,1287367,1472309,,,,56.6,27075,23.5,6.5,80715.3,,,,,,,,,,19.1
715,Республика Башкортостан,2007-01-01,857,21.14,0.0019282240193397992,0.0008526638757067675,0.005142638729629244,0.000998282143924921,0.028157997653500196,0.011066666666666667,0.00019703276912231077,0.09244567092100725,0.16833390824422215,0.20420834770610555,0.2718178682304243,0.09934460158675405,0.11452224905139703,0.04932735426008968,1896072,2158749,,,,59.8,35028,9.7,6.5,145543.9,,,,,,,,,,12.8
716,Республика Марий Эл,2007-01-01,77,10.92,0.0007117437722419929,0.0006911692958204586,0.006002824858757062,0.0014400200350613574,0.031007751937984496,0.006928406466512702,0.00018577393168724412,0.06779661016949153,0.2305084745762712,0.2305084745762712,0.31186440677966104,0.05423728813559322,0.04067796610169491,0.06440677966101695,327505,377444,,,,62.7,5886,7.9,9.0,77919.2,,,,,,,,,,27.5
717,Республика Мордовия,2007-01-01,81,9.51,0.0013204225352112676,0.0004743833017077799,0.0016666666666666668,0.0009950798828017027,0.12418300653594772,0.004725897920604915,0.0002494999438845009,0.09651474530831099,0.13941018766756033,0.2037533512064343,0.19302949061662197,0.2037533512064343,0.10723860589812333,0.05630026809651475,391794,459864,,,,58.9,7935,3.6,3.5,90138.7,,,,,,,,,,24.6
718,Республика Татарстан,2007-01-01,937,24.88,0.0010650294449317129,0.00027728697267111185,0.004569919772519549,0.0006398175938205254,0.029045643153526972,0.007557320353528884,0.00265377163012104,0.0693523712391637,0.0,0.27536970933197347,0.11218765935747067,0.19989801121876594,0.12034676185619582,0.2228454869964304,1737789,2028989,,,,74.7,36619,19.4,5.6,201172.1,,,,,,,,,,8.7
719,Удмуртская Республика,2007-01-01,407,26.55,0.0021145593631444744,0.0006969770645919442,0.2125237191650854,0.0018874634132997783,0.02034987504462692,0.034924845269672856,0.08361557513905049,0.08369230769230769,0.10584615384615384,0.2756923076923077,0.16984615384615384,0.1403076923076923,0.19446153846153846,0.030153846153846153,705923,827023,,,,70.3,15867,14.7,8.1,133904.7,,,,,,,,,,17.3
720,Чувашская Республика,2007-01-01,124,9.82,0.0010721137569123123,0.0002072839582944676,0.0009127418765972983,0.0007702736011831403,0.06451612903225806,0.003757380568974772,0.00015022302543192,0.2087912087912088,0.10989010989010989,0.054945054945054944,0.27472527472527475,0.1978021978021978,0.07692307692307693,0.07692307692307693,586981,676035,,,,57.2,15963,2.7,9.0,97528.7,,,,,,,,,,20.2
721,Пермский край,2007-01-01,904,33.81,0.0023680124223602484,0.0010311366440184867,0.01124859392575928,0.0021521335807050093,0.050621669626998225,0.027339725810286077,0.011096391732816653,0.06329442282749675,0.11621271076523995,0.0311284046692607,0.2106355382619974,0.177431906614786,0.35797665369649806,0.04332036316472114,1227637,1446320,,,,75.4,21861,44.5,6.5,178096.8,,,,,,,,,,13.5
722,Кировская область,2007-01-01,56,4.06,0.0006009615384615385,0.0001948747929455325,0.0020604395604395605,0.000382687229727144,0.05188679245283019,0.0008445945945945946,0.0019279782782013887,0.1553398058252427,0.1553398058252427,0.17475728155339806,0.1941747572815534,0.21359223300970873,0.019417475728155338,0.08737864077669903,634701,744682,,,,72.6,12047,6.1,5.8,85144.4,,,,,,,,,,21.4
723,Нижегородская область,2007-01-01,586,17.43,0.002088385879816761,0.000766718445055164,0.011460698453886907,0.0009461688092016238,0.06784386617100371,0.016592095451155853,0.0014928105227127299,0.09229624116114626,0.1146259769259397,0.1577967994045404,0.26646818012653517,0.2173427614439896,0.13248976553777447,0.018980275400074433,1518422,1844395,,,,78.4,36471,7.1,4.5,140297.9,,,,,,,,,,14.2
724,Оренбургская область,2007-01-01,1463,71.17,0.006238074269778365,0.0,0.031041687394289124,0.00834936514043863,0.03281027104136947,0.012904487242154658,0.0019335196867247442,0.08531994981179424,0.0,0.3131744040150565,0.2178168130489335,0.06925972396486825,0.13249686323713927,0.18193224592220827,955156,1100545,,,,58.9,16423,10.9,7.1,179882.4,,,,,,,,,,17.9
725,Пензенская область,2007-01-01,146,10.39,0.0007818608287724785,0.00034415045448104133,0.0014910536779324055,0.0005581247010046245,0.06153846153846154,0.004765687053216839,0.00015008271687235995,0.07531380753138076,0.14225941422594143,0.07531380753138076,0.2928870292887029,0.26778242677824265,0.0502092050209205,0.09623430962343096,641215,764136,,,,66.1,11239,7.3,5.2,84558.3,,,,,,,,,,17.4
726,Самарская область,2007-01-01,3411,105.9,0.0044940805580708995,0.003786134561268867,0.08495425540093796,0.0062639517660067175,0.04694206008583691,0.05007935108446482,0.007299658588007855,0.03623335361319543,0.1000473196782262,0.2987899682282161,0.32474819171229635,0.047319678226188065,0.15358615561414182,0.03927533292773609,1475061,1745877,,,,80.1,31267,19.7,4.1,181529.8,,,,,,,,,,15.8
727,Саратовская область,2007-01-01,570,22.28,0.003400435255712731,0.0010718496552216943,0.013531440700451048,0.003196715795140992,0.1625,0.014642549526270457,0.0006455757399382606,0.08333333333333333,0.15,0.17,0.15833333333333333,0.30333333333333334,0.056666666666666664,0.07833333333333334,1169994,1388328,,,,74.0,28753,5.9,8.0,98569.9,,,,,,,,,,22.8
728,Ульяновская область,2007-01-01,703,53.41,0.007544892108042855,0.0032553797544103216,0.023587833643699565,0.007844414185068972,0.04407836153161175,0.03751065643648764,0.01725602919648508,0.06655574043261231,0.1810316139767055,0.15174708818635607,0.3527454242928453,0.13178036605657237,0.05856905158069883,0.05757071547420965,602699,713518,,,,73.2,12859,12.4,4.6,94375.6,,,,,,,,,,20.7
729,Курганская область,2007-01-01,213,22.79,0.0012742099898063201,0.0004357931435212086,0.007477243172951885,0.0008714431856931762,0.021170610211706103,0.007621550591327201,0.0010079513048581502,0.08968609865470852,0.08968609865470852,0.1375186846038864,0.2750373692077728,0.20328849028400597,0.17339312406576982,0.03139013452914798,428909,505603,,,,58.9,8039,35.8,8.5,86224.4,,,,,,,,,,18.8
730,Свердловская область,2007-01-01,3864,89.44,0.008822506088771808,0.004147647929302403,0.02606310013717421,0.009058340912887717,0.020637305289792046,0.040522777631727194,0.025571205257044524,0.08756783423778984,0.14726196349284656,0.07498766650222002,0.2407498766650222,0.12876171682289098,0.26615688209176125,0.05451406018746917,1979765,2340349,,,,83.4,43425,31.0,5.2,189763.4,,,,,,,,,,10.4
731,Тюменская область без АО,2007-01-01,626,47.59,0.003308177401013129,0.0019276837849977542,0.007732270146188233,0.0038558256496228,0.024030209406110538,0.011933174224343675,0.013295409279219326,0.17462482946793997,0.18735788994997726,0.11641655297862664,0.25102319236016374,0.1273306048203729,0.09095043201455207,0.05229649840836744,614626,700729,,,,63.1,36306,26.8,,,,,,,,,,,,10.6
732,Ханты-Мансийский АО-Югра,2007-01-01,969,64.98,0.0035868482231816673,0.0014450234268949512,0.033757062146892655,0.003921746767208746,0.04452054794520548,0.018985976267529667,0.0006434791700832181,0.05737051792828685,0.1051792828685259,0.2539176626826029,0.2751660026560425,0.15192563081009297,0.09349269588313414,0.06294820717131475,733316,757924,,,,91.0,12117,38.2,7.6,,,,,,,,,,,7.4
733,Ямало-Ненецкий АО,2007-01-01,182,34.73,0.0012340600575894694,0.0005287648054145516,0.005742049469964664,0.0007473569084943492,0.026558891454965358,0.014775413711583925,0.00018174265240419567,0.04678362573099415,0.11695906432748537,0.10136452241715399,0.31968810916179335,0.1793372319688109,0.1949317738791423,0.04093567251461988,260788,263224,,,,84.8,3223,26.6,2.8,,,,,,,,,,,6.5
734,Челябинская область,2007-01-01,1744,49.98,0.0037175715431933673,0.0022297292258588934,0.015790792881610827,0.0034542475140590667,0.022124406347735433,0.033934252386002124,0.0007068233576467376,0.09260493004663557,0.19920053297801465,0.12591605596269154,0.24716855429713525,0.12724850099933377,0.1492338441039307,0.05862758161225849,1597752,1891340,,,,81.8,36813,20.6,2.5,164797.5,,,,,,,,,,11.6
735,Республика Алтай,2007-01-01,19,9.35,0.0007218479307025986,0.0,0.0,0.00025791808521613536,0.0398406374501992,0.023809523809523808,0.0001271469980287459,0.11650485436893204,0.0,0.0,0.1941747572815534,0.3883495145631068,0.27184466019417475,0.02912621359223301,96161,106967,,,,26.7,979,6.3,8.9,74633.6,,,,,,,,,,32.9
736,Республика Бурятия,2007-01-01,349,36.16,0.0025432965968269347,0.001476082845149684,0.009829867674858222,0.004890878051031237,0.06542056074766354,0.014935988620199146,0.12532681522133912,0.12380250552689757,0.18865143699336773,0.07663964627855564,0.3124539425202653,0.18570375829034635,0.06190125276344879,0.05084745762711865,458174,506982,,,,56.0,9499,3.4,13.1,111354.0,,,,,,,,,,25.2
737,Республика Тыва,2007-01-01,6,1.98,0.0,0.0,0.0,0.0,0.004347826086956522,0.0,7.986504285411581e-05,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,143572,160211,,,,51.9,1238,21.0,16.9,63959.4,,,,,,,,,,36.0
738,Республика Хакасия,2007-01-01,45,8.47,0.000742469240560034,0.0002718499388337638,0.003887269193391642,0.0006929106578320558,0.06382978723404255,0.006389776357827476,5.71555950108873e-05,0.13592233009708737,0.11650485436893204,0.1553398058252427,0.3106796116504854,0.23300970873786409,0.038834951456310676,0.009708737864077669,246475,284832,,,,70.7,4963,19.2,6.6,119953.2,,,,,,,,,,20.2
739,Алтайский край,2007-01-01,1221,49.77,0.008281092794675335,0.0010635707787132074,0.06645569620253164,0.007801660869040677,0.08749096167751265,0.03388473852721451,0.000733626462017986,0.05562776189238368,0.043150506888484534,0.40395113075123473,0.20171562256303613,0.12581232128931635,0.13205094879126592,0.03769170782427866,1134837,1318618,,,,54.2,18695,35.2,6.4,90759.9,,,,,,,,,,20.1
740,Забайкальский край,2007-01-01,267,24.02,0.0015300230946882216,0.0006657789613848203,0.004499826929733472,0.0010806772243939534,0.06332842415316642,0.0013119916032537393,0.00020841826589789017,0.20907297830374755,0.14201183431952663,0.05128205128205128,0.31952662721893493,0.16962524654832348,0.07889546351084813,0.029585798816568046,529840,581599,,,,64.6,9218,7.3,8.7,99544.9,,,,,,,,,,23.6
741,Красноярский край,2007-01-01,938,33.06,0.003384476534296029,0.0007622281314150592,0.012983831455169036,0.0023318605792832597,0.02800751879699248,0.014843986670705847,0.004068036125458707,0.07363770250368189,0.08640157093765341,0.20814923907707414,0.20520373097692685,0.14629356897398135,0.19243986254295534,0.08787432498772704,1322021,1514992,,,,75.5,25492,28.6,7.6,258394.3,,,,,,,,,,15.8
742,Иркутская область,2007-01-01,1956,79.66,0.008707173954192694,0.0038680988446465918,0.019659239842726082,0.009917807149411375,0.027165441995101312,0.060602727672679275,0.018886454408056825,0.11341222879684418,0.1878698224852071,0.06656804733727811,0.2504930966469428,0.0601577909270217,0.27169625246548323,0.04980276134122288,1139449,1315961,,,,79.4,29423,43.4,8.0,163588.0,,,,,,,,,,18.4
743,Кемеровская область,2007-01-01,1157,41.62,0.004905808477237049,0.0010642995437098765,0.033671216378964273,0.005278899891562101,0.06698872785829307,0.019293257514216084,0.03655030933976202,0.10653882008256758,0.050073245438806764,0.35743774137701423,0.2359834864828872,0.11080037288587029,0.1012118790784392,0.0379544546544147,1276238,1503993,,,,85.2,24201,52.9,6.2,157302.2,,,,,,,,,,10.7
744,Новосибирская область,2007-01-01,1293,48.93,0.00413636046754816,0.0005608839531101016,0.05565172789639033,0.005392156862745098,0.06848249027237355,0.015069374253422769,0.001362223448588356,0.11856786011656953,0.03330557868442964,0.5781848459616986,0.014654454621149043,0.05861781848459617,0.10924229808492923,0.08742714404662781,1226721,1416006,,,,76.1,37272,27.1,7.0,138199.1,,,,,,,,,,18.7
745,Омская область,2007-01-01,112,5.62,0.000859914545991992,0.00022319491115602565,0.024225352112676058,0.001767450629212424,0.07519640852974187,0.002966918854769322,0.005458364974931846,0.06293018682399214,0.035398230088495575,0.42281219272369713,0.2949852507374631,0.13176007866273354,0.03933136676499508,0.012782694198623401,921132,1072158,,,,70.8,21908,12.7,8.0,148129.3,,,,,,,,,,14.0
746,Томская область,2007-01-01,65,6.33,0.0009246417013407304,0.0003272251308900524,0.002061855670103093,0.0008133192995885561,0.06623931623931624,0.0,0.0001851321644467434,0.09329446064139942,0.13994169096209913,0.1282798833819242,0.19825072886297376,0.36151603498542273,0.0,0.07871720116618076,482265,544042,,,,69.0,20358,13.9,6.8,209319.9,,,,,,,,,,13.2
747,Республика Саха (Якутия),2007-01-01,67,6.99,0.00046249190639163816,0.00024790967073088277,0.0003039821663795724,0.0006194776825013857,0.023017902813299233,0.0017793594306049821,0.00021457391566866572,0.09433962264150944,0.20754716981132076,0.05660377358490566,0.3584905660377358,0.16981132075471697,0.018867924528301886,0.09433962264150944,467431,491498,,,,63.7,8314,7.5,7.7,253423.5,,,,,,,,,,20.3
748,Камчатский край,2007-01-01,24,7.32,0.0,0.00011036309458117205,0.0,0.00010829073897600277,0.009230769230769232,0.0024242424242424242,0.00012936350721936025,0.0,0.0851063829787234,0.0,0.425531914893617,0.2553191489361702,0.1702127659574468,0.06382978723404255,162543,165406,,,,79.0,4104,4.3,9.0,200610.1,,,,,,,,,,20.5
749,Приморский край,2007-01-01,657,33.23,0.0028165323901224865,0.000662950128069911,0.004586199708150928,0.0028733195790822336,0.046058458813108945,0.01527331189710611,0.00044638874094244003,0.0787906550618415,0.08062299587723316,0.04031149793861658,0.5588639486944572,0.09528172240036646,0.10444342647732478,0.04168575355016033,943566,1033826,,,,75.8,22401,29.4,6.9,130632.0,,,,,,,,,,21.4
750,Хабаровский край,2007-01-01,135,9.96,0.0007169029791301578,0.0003613761202659728,0.0027119325030132584,0.0006503616404879683,0.044444444444444446,0.004462072384729797,0.0001253113812125107,0.14285714285714285,0.15873015873015872,0.21428571428571427,0.2619047619047619,0.07936507936507936,0.07142857142857142,0.07142857142857142,642419,712429,,,,81.6,20239,8.8,5.6,170398.0,,,,,,,,,,15.0
751,Амурская область,2007-01-01,27,3.2,0.00023710729104919976,7.135721421435707e-05,0.0010482180293501049,0.00011519941017901988,0.03773584905660377,0.0013736263736263737,4.516637876897041e-05,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.35294117647058826,0.058823529411764705,0.058823529411764705,400831,443459,,,,66.6,5633,27.2,6.1,131887.8,,,,,,,,,,24.3
752,Магаданская область,2007-01-01,11,6.71,0.0,0.00017143836790673754,0.0017331022530329288,0.0004421518054532056,0.09090909090909091,0.0,0.0,0.0,0.06666666666666667,0.26666666666666666,0.4,0.26666666666666666,0.0,0.0,80152,83837,,,,94.4,1922,34.7,5.6,213449.6,,,,,,,,,,16.2
753,Сахалинская область,2007-01-01,34,6.67,0.0003176115610608226,0.0001226993865030675,0.0006832934745473181,0.0005125172481766213,0.0707070707070707,0.0019144862795149968,0.0001083436039326298,0.05970149253731343,0.08955223880597014,0.05970149253731343,0.3880597014925373,0.208955223880597,0.08955223880597014,0.1044776119402985,244127,265237,,,,78.8,3111,34.8,4.6,559774.1,,,,,,,,,,12.6
754,Еврейская автономная область,2007-01-01,3,1.68,0.0,0.000682360968952576,0.002425712553062462,0.0008532423208191126,0.0,0.0,0.00012660364618501013,0.0,0.4,0.4,0.1,0.0,0.0,0.1,85245,93466,,,,67.2,1597,15.0,9.3,132505.0,,,,,,,,,,25.4
755,Чукотский АО,2007-01-01,7,13.25,0.0,0.0,0.006756756756756757,0.0011185682326621924,0.045454545454545456,0.0,0.00010463534581981794,0.0,0.0,0.17391304347826086,0.5217391304347826,0.17391304347826086,0.0,0.13043478260869565,26859,25966,,,,65.0,0,4.0,3.5,396907.1,,,,,,,,,,13.3
757,Белгородская область,2008-01-01,102,6.68,0.0006329781622534023,0.00024955288441542235,0.00109217999126256,0.00032356176794150004,0.028831562974203338,0.004142011834319527,0.25005826171045503,0.07717041800643087,0.15434083601286175,0.06430868167202572,0.19292604501607716,0.24437299035369775,0.18006430868167203,0.08681672025723473,701635,824623,,,,66.0,16990,4.2,3.9,208548.1,,,,,,,,,,10.0
758,Брянская область,2008-01-01,170,13.14,0.0031871016122984627,0.0005531679502999873,0.008483563096500531,0.000360001107695716,0.07010309278350516,0.006628003314001657,0.00014405836527180187,0.10477657935285054,0.16024653312788906,0.04930662557781202,0.40061633281972264,0.20955315870570107,0.04930662557781202,0.026194144838212634,589758,704493,,,,68.8,11757,14.4,6.5,96885.4,,,,,,,,,,15.7
759,Владимирская область,2008-01-01,252,17.28,0.0028462998102466793,0.0008458132245385343,0.010052122114668651,0.0031358420069388846,0.07178217821782178,0.03896103896103896,0.0003290017298657807,0.03088803088803089,0.17503217503217502,0.277992277992278,0.24195624195624196,0.1492921492921493,0.07722007722007722,0.047619047619047616,654126,803811,,,,77.4,10556,6.8,5.7,119941.8,,,,,,,,,,19.9
760,Воронежская область,2008-01-01,123,5.26,0.0003831417624521073,0.00023641859601128054,0.0008521516829995739,0.0005354482244847281,0.017814726840855107,0.0006303183107469272,4.9547912162286397e-05,0.042643923240938165,0.11940298507462686,0.06823027718550106,0.5884861407249466,0.1279317697228145,0.017057569296375266,0.03624733475479744,1067023,1271974,,,,61.7,26013,16.2,5.2,122591.1,,,,,,,,,,18.2
761,Ивановская область,2008-01-01,461,42.91,0.00619514713474445,0.001996007984031936,0.020299416391778735,0.003923637442711596,0.06534422403733955,0.08,0.0005544782142774476,0.029038112522686024,0.1839080459770115,0.19358741681790684,0.28796128251663644,0.1355111917725348,0.08711433756805807,0.08287961282516637,478899,595410,,,,80.8,11065,17.7,5.2,80708.5,,,,,,,,,,22.6
762,Калужская область,2008-01-01,157,15.46,0.0006109979633401223,0.0007706207482993197,0.006643046944198406,0.0014026611599228535,0.04174573055028463,0.013748191027496382,0.00024278916189181314,0.03519061583577713,0.17008797653958943,0.08797653958944282,0.4222873900293255,0.12903225806451613,0.11143695014662756,0.04398826979472141,464658,550939,,,,75.3,5634,5.6,4.6,147929.5,,,,,,,,,,12.9
763,Костромская область,2008-01-01,155,22.87,0.002794857462269424,0.001511879049676026,0.006699419383653417,0.0017226528854435831,0.07865168539325842,0.03468208092485549,0.00042483110622063914,0.038910505836575876,0.2178988326848249,0.23346303501945526,0.1867704280155642,0.16342412451361868,0.0933852140077821,0.06614785992217899,308926,368867,,,,69.2,4814,18.3,4.9,119071.5,,,,,,,,,,18.2
764,Курская область,2008-01-01,93,8.13,0.00044211108040895274,0.00018284042601819262,0.003520173300839426,0.00035102345275443713,0.04590163934426229,0.00834326579261025,6.434516758696089e-05,0.09580838323353294,0.09580838323353294,0.15568862275449102,0.38323353293413176,0.16766467065868262,0.08383233532934131,0.017964071856287425,518786,624543,,,,63.7,10125,23.8,6.3,146276.4,,,,,,,,,,11.1
765,Липецкая область,2008-01-01,63,5.33,0.00024752475247524753,0.00019555439671468613,0.001685823754789272,0.0006959547629404089,0.0215311004784689,0.002904443799012489,7.030084935590737e-05,0.05063291139240506,0.10126582278481013,0.18565400843881857,0.270042194092827,0.1518987341772152,0.16877637130801687,0.07172995780590717,539558,642423,,,,63.3,7376,16.9,5.0,219135.8,,,,,,,,,,10.5
766,Московская область,2008-01-01,2527,36.32,0.0038841606214656994,0.0023599848867962916,0.02157920549288867,0.0040002455876866115,0.09456909205284127,0.025788599889319315,0.08522451435184555,0.0287283481199831,0.17152513730460497,0.07435572454583861,0.35783692437684833,0.19053654414871146,0.0984368398817068,0.07858048162230671,3185631,3772384,,,,79.9,25962,19.8,2.7,237595.8,,,,,,,,,,9.3
767,Орловская область,2008-01-01,108,13.52,0.001372055796935742,0.0004989062440035307,0.001706708677957201,0.0008990903321345462,0.051685393258426963,0.009345794392523364,0.04183307905182334,0.13259668508287292,0.143646408839779,0.143646408839779,0.1878453038674033,0.2541436464088398,0.07734806629834254,0.06077348066298342,360880,437975,,,,65.2,9191,3.2,6.0,120531.4,,,,,,,,,,16.3
768,Рязанская область,2008-01-01,205,17.55,0.0018562920566169078,0.0007213750901718862,0.018226600985221674,0.0010035252039214677,0.0641399416909621,0.0141718334809566,0.00033933876232585414,0.11895910780669144,0.14374225526641884,0.18339529120198264,0.19330855018587362,0.218091697645601,0.07930607187112763,0.06319702602230483,530602,637302,,,,70.6,9563,9.8,5.4,128211.5,,,,,,,,,,14.6
769,Смоленская область,2008-01-01,131,13.09,0.002540220152413209,0.00045309092968595134,0.0032633081786661226,0.0003530274365682112,0.04142011834319527,0.013761467889908258,0.0001398142294412294,0.05010438413361169,0.1336116910229645,0.1336116910229645,0.325678496868476,0.23382045929018788,0.07515657620041753,0.04801670146137787,454799,545912,,,,72.0,7935,13.9,7.0,121012.7,,,,,,,,,,14.9
770,Тамбовская область,2008-01-01,117,10.56,0.000766969193404065,0.0006152373790887651,0.001941747572815534,0.0009917461129950733,0.0343796711509716,0.0009987515605493133,0.0005448499921395503,0.06266318537859007,0.18798955613577023,0.09399477806788512,0.3237597911227154,0.2402088772845953,0.04177545691906005,0.04960835509138381,507423,600387,,,,58.2,8583,3.4,9.1,108653.3,,,,,,,,,,11.3
771,Тверская область,2008-01-01,616,44.79,0.00688802543270929,0.0027030679821597515,0.021301093839953943,0.009313483383898962,0.055055055055055056,0.09212283044058744,0.0007922827634302533,0.07963246554364471,0.2450229709035222,0.07554874936191934,0.26952526799387444,0.11230219499744767,0.14088820826952528,0.07708014293006636,619057,756358,,,,73.9,8407,10.3,5.1,139216.2,,,,,,,,,,13.9
772,Тульская область,2008-01-01,528,33.5,0.006585687106688131,0.002014388489208633,0.009417223966152586,0.0019642162582652663,0.02945619335347432,0.0192,0.00044327939143995606,0.0944386149003148,0.161594963273872,0.14480587618048268,0.42392444910807975,0.08184679958027283,0.05036726128016789,0.04302203567681007,706149,870197,,,,79.8,8870,6.4,3.4,146465.6,,,,,,,,,,13.1
773,Ярославская область,2008-01-01,134,10.42,0.0,0.000806572068707991,0.006785795068988917,0.0008250979803851707,0.05755395683453238,0.023255813953488372,0.00015581117392912582,0.0,0.20224719101123595,0.2247191011235955,0.3295880149812734,0.1198501872659176,0.08239700374531835,0.04119850187265917,574428,711694,,,,81.9,9805,8.5,5.8,166711.8,,,,,,,,,,14.1
774,г. Москва,2008-01-01,2983,26.44,0.00259715729328989,0.0008437333802518404,0.0012318188278770076,0.001376227348926319,0.08987968860580325,0.010363924050632911,0.02538686803594549,0.035324341682723186,0.1355170199100835,0.016698779704560053,0.27681438664097624,0.08156711624919717,0.08413615928066795,0.3699421965317919,5224012,6057619,,,,100.0,179161,12.4,0.9,734242.0,,,,,,,,,,12.5
775,Республика Карелия,2008-01-01,115,17.59,0.0011806375442739079,0.0006962669380322426,0.009295287505404237,0.0010339978492844735,0.20454545454545456,0.0891089108910891,0.00019525463542153937,0.037383177570093455,0.12149532710280374,0.40186915887850466,0.2336448598130841,0.08411214953271028,0.08411214953271028,0.037383177570093455,298325,355441,,,,77.1,5107,4.6,8.2,175465.8,,,,,,,,,,15.6
776,Республика Коми,2008-01-01,148,16.05,0.000946969696969697,0.0002768319353320599,0.0022678593927176515,0.0007390046662866071,0.07006369426751592,0.016299137104506232,9.173079877551058e-05,0.05137614678899083,0.07339449541284404,0.26422018348623855,0.25688073394495414,0.08073394495412844,0.24954128440366974,0.023853211009174313,436326,485995,,,,76.1,7378,22.3,7.1,314251.6,,,,,,,,,,15.1
